head_length,skull_width,total_length,tail_length,foot_length,earconch_length,eye_distance,chest_girth,belly_girth,site_1,site_2,site_3,site_4,site_5,site_6,site_7,pop_Vic,pop_other,sex_f,sex_m
0.09192037,0.35421893,0.8895523,0.49442664,-0.18426514,-0.53090715,1.346746,-0.48370472,0.3369198,0,0,1,0,0,0,0,0,1,1,0
0.7551889,0.19573171,1.0057198,-0.48221856,1.4075087,1.4122823,0.050907925,0.50219023,-0.3631733,1,0,0,0,0,0,0,1,0,0,1
0.8705399,0.48100868,1.0057198,-0.7263799,0.94612503,0.8823216,-0.13421181,1.9810327,0.8619897,1,0,0,0,0,0,0,1,0,0,1
0.12075812,0.037244495,1.1218872,0.49442664,1.8227541,1.033739,0.14346778,0.50219023,0.5119431,1,0,0,0,0,0,0,1,0,1,0
0.20727141,-0.4065197,0.6572174,-0.48221856,1.2690936,1.8412982,0.23602766,0.50219023,-0.18815003,1,0,0,0,0,0,0,1,0,0,1
-2.3304517,-1.7378123,-2.8278062,-1.4588637,0.1156343,1.3365737,-1.8928492,-0.9766522,-2.638476,0,1,0,0,0,0,0,1,0,1,0
0.17843366,-0.21633504,1.0057198,0.0061040325,0.96919423,1.2103926,0.42114738,0.50219023,0.16189654,1,0,0,0,0,0,0,1,0,1,0
-0.80205023,-1.0087711,-1.3176293,-0.48221856,-1.4300013,-1.2122853,-0.9672506,-0.9766522,-1.2382897,0,0,0,0,0,1,0,0,1,1,0
0.72635114,0.38591635,0.5410499,-0.48221856,0.7615715,0.98326653,-0.78213084,1.4880852,0.68696636,1,0,0,0,0,0,0,1,0,0,1
1.5049707,-0.43821713,0.19254756,0.25026533,-0.73792565,-0.63185203,-0.041651938,0.74866396,0.5119431,0,0,0,0,1,0,0,0,1,0,1
-1.0039146,-0.69179666,-1.0852945,-0.9705412,0.692364,0.98326653,-1.3374901,0.50219023,-0.3631733,0,1,0,0,0,0,0,1,0,1,0
-0.60018593,-0.21633504,-0.5044572,0.0061040325,-0.13812676,-0.3290173,-0.5044513,-0.7301785,-0.53819656,0,0,0,0,0,0,1,0,1,0,1
-0.42715934,0.22742915,0.19254756,0.9827492,-1.1762402,-0.27854487,-0.59701115,-0.48370472,-0.88824314,0,0,0,1,0,0,0,0,1,1,0
0.23610917,0.9247729,0.42488247,1.4710718,-0.13812676,-0.53090715,-0.22677167,0.74866396,0.3369198,0,0,0,0,0,0,1,0,1,1,0
0.49564904,2.2877629,0.8895523,0.9827492,-0.3918878,-0.42996222,-0.59701115,1.7345589,0.16189654,0,0,0,1,0,0,0,0,1,0,1
1.1877553,1.9073936,1.0057198,2.9360397,0.7154332,-0.53090715,2.2723446,1.4880852,1.3870595,0,0,0,1,0,0,0,0,1,0,1
-1.9843985,-1.4525353,-1.5499642,-0.9705412,-1.4300013,-1.4394113,-0.8746907,-0.7301785,-0.88824314,0,0,0,0,1,0,0,0,1,0,1
-0.34064606,-0.1846376,0.19254756,0.49442664,-0.73792565,-0.2280724,-0.13421181,0.50219023,1.2120363,0,0,1,0,0,0,0,0,1,1,0
-2.9648824,-1.4842328,-1.2014619,-0.23805727,-0.5764413,-0.8589781,0.8839467,-1.7160734,-1.5883362,0,0,0,0,1,0,0,0,1,0,1
0.20727141,0.13233683,0.30871502,0.49442664,0.00028836483,-1.6160649,-0.9672506,0.99513775,2.0871527,0,0,0,0,1,0,0,0,1,1,0
-0.10994396,-0.6284018,0.42488247,0.49442664,-1.0839634,-0.6823245,-1.8928492,-0.9766522,-0.88824314,0,0,0,0,0,0,1,0,1,1,0
-1.2634544,-0.75519156,-1.5499642,-0.48221856,-1.2915862,-1.1365767,1.1616263,-0.9766522,-1.413313,0,0,0,0,0,1,0,0,1,0,1
-0.80205023,-0.4699146,-1.4337968,-2.435509,0.8769175,0.3271246,-1.5226097,0.99513775,-0.53819656,0,1,0,0,0,0,0,1,0,1,0
-0.42715934,0.32252148,0.7733848,0.9827492,-0.6225797,-1.7170098,0.8839467,0.009242766,-0.18815003,0,0,0,0,1,0,0,0,1,1,0
1.3896196,1.2734448,1.4703895,1.4710718,-0.0689192,-0.959923,0.69882697,0.74866396,-0.013126746,0,0,1,0,0,0,0,0,1,0,1
-0.28297055,0.19573171,-0.7367921,-0.7263799,-0.92247915,-0.7580332,-0.59701115,0.99513775,0.8619897,0,0,0,0,0,0,1,0,1,0,1
0.84170216,0.6394959,-0.27212226,0.49442664,-1.1762402,-0.80850565,-0.041651938,-0.23723097,-0.53819656,0,0,0,0,1,0,0,0,1,0,1
-2.0132363,-2.213274,-1.4337968,-0.23805727,-1.2454478,-1.287994,-0.22677167,-2.4554946,-1.413313,0,0,0,0,0,1,0,0,1,0,1
-0.39832157,-0.75519156,0.42488247,0.0061040325,0.6000872,0.9327941,-0.22677167,-1.4695997,-0.88824314,1,0,0,0,0,0,0,1,0,0,1
0.14959589,-0.2480325,-0.15595481,0.7385879,-0.784064,-1.0861042,-0.9672506,0.50219023,0.8619897,0,0,0,0,0,0,1,0,1,1,0
-0.225295,-0.1846376,0.30871502,0.49442664,-0.9455483,-0.45519847,0.14346778,-0.7301785,-1.413313,0,0,0,0,1,0,0,0,1,1,0
0.14959589,0.19573171,-0.5044572,-0.23805727,-0.8071332,-1.0103954,1.346746,0.2557165,-1.0632664,0,0,0,0,1,0,0,0,1,0,1
1.4184574,0.44931126,-0.6206246,-0.9705412,-0.87634075,-0.4804347,-0.59701115,0.99513775,-0.7132199,0,0,0,0,0,0,1,0,1,0,1
-0.10994396,-0.31142738,-1.5499642,-0.7263799,0.04642674,0.3523608,0.79138684,0.009242766,-0.88824314,0,1,0,0,0,0,0,1,0,0,1
-0.19645725,-0.81858647,-0.7367921,-1.7030251,0.5539489,0.6804318,-0.5044513,-1.2231259,0.16189654,1,0,0,0,0,0,0,1,0,1,0
-0.08110621,0.19573171,1.0057198,-0.23805727,0.99226344,0.7813767,0.8839467,0.74866396,0.16189654,1,0,0,0,0,0,0,1,0,1,0
2.0528882,1.431932,1.5168566,0.49442664,0.1156343,-0.3290173,1.2541862,0.2557165,-0.3631733,0,0,0,1,0,0,0,0,1,0,1
1.0147288,0.48100868,0.8895523,1.2269105,1.2229553,1.0085027,1.0690664,0.50219023,1.2120363,1,0,0,0,0,0,0,1,0,0,1
0.35146022,0.9564703,1.9350593,0.9827492,1.6612699,0.9580303,0.42114738,1.4880852,0.5119431,1,0,0,0,0,0,0,1,0,1,0
0.46681127,-0.66009927,-0.7367921,-1.4588637,1.5689931,1.36181,1.0690664,0.009242766,-0.18815003,1,0,0,0,0,0,0,1,0,0,1
1.4472952,0.82968056,0.42488247,0.49442664,-0.6225797,-0.026182586,-0.041651938,-0.48370472,-0.18815003,0,0,0,0,0,0,1,0,1,0,1
-0.36948383,-0.5650069,-1.0852945,-0.23805727,-1.2223786,-0.55614334,0.32858753,-0.9766522,-1.2382897,0,0,0,0,0,0,1,0,1,0,1
-1.8113719,-1.8962995,-1.4337968,-0.23805727,-1.1993093,-0.959923,-1.7077295,-1.9625472,-1.5883362,0,0,0,0,0,1,0,0,1,0,1
-0.05226844,-0.75519156,-0.5044572,0.7385879,0.36939538,-0.83374184,-0.5044513,-0.7301785,-0.013126746,0,0,0,0,0,0,1,0,1,0,1
-1.3211299,-1.1989558,-0.15595481,0.7385879,-1.8221774,-1.1113404,-1.3374901,-0.48370472,-0.53819656,0,0,0,0,0,1,0,0,1,1,0
0.8993777,0.35421893,2.1673942,1.2269105,2.2379994,1.2103926,-0.78213084,1.4880852,2.6122224,1,0,0,0,0,0,0,1,0,1,0
1.1877553,-0.15294015,0.5410499,0.7385879,-1.1993093,-0.7580332,1.9021052,-0.7301785,0.16189654,0,0,0,0,1,0,0,0,1,1,0
0.2937847,0.35421893,0.42488247,0.49442664,-0.4610954,-0.63185203,1.7169855,-0.48370472,0.3369198,0,0,0,0,0,1,0,0,1,0,1
0.034244843,0.19573171,-0.38828972,-1.4588637,0.34632617,0.9327941,0.6062671,0.50219023,0.8619897,1,0,0,0,0,0,0,1,0,0,1
0.5821623,-0.4065197,-0.969127,0.49442664,-0.3918878,-0.10189127,-0.9672506,-0.9766522,0.16189654,0,0,0,0,0,0,1,0,1,0,1
2.9756966,1.9707885,1.2380546,0.49442664,0.99226344,-0.80850565,1.2541862,1.7345589,1.2120363,0,0,0,1,0,0,0,0,1,0,1
